SMILES,measured log(solubility:mol/L)
NCC(=O)NCC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=NN=C(S1)S(N)(=O)=O,-1.29
N(N=Nc1ccccc1)c2ccccc2,-2.6
CN1C(=O)NC(=O)[C@@](C)(C1=O)C1=CCCCC1,-2.74
CN1C2=C(C=CC=C2)C(C(N)=O)=C1C(N)=O,-1.82
Cc1ccc(O)c(c1)C(C)(C)C,-2.69
Cc1ccc(cc1)C(C)(C)C,-4.47
ClC1=CC=CC(C2=CNC=C2C#N)=C1Cl,-4.88
CCOC(=O)CCCCC(=O)OCC,-1.68
CC1=CC2=C(C=C1)S(=O)(=O)C=C2,-2.65
S=C(SN1CCOCC1)N2CCOCC2,-3.29
CC(=C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,-4.05
CCOC(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,-7.29
CN1C(=O)C(C)=NC2=C1N=CN=C2,-1.49
CC(=O)C1C(=O)C=C(C)OC1=O,-1.81
CCCC(O)C(C)CC,-1.84
CCN(C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,-3.7
OC[C@H](O)[C@@H](O)C(O)[C@H](O)[C@H](O)CO,-0.52
CCC\C(=C/C(O)=O)C(O)=O,-1.15
OCc(c(Cl)ccc1)c1Cl,-2.1
OC1=C(Br)C=CC=CC1=O,-2.44
C[C@H](S[C@@H](C)C(N)=O)C(N)=O,-0.92
C1CCCCN1,1.07
CCC(CO)(CO)[N+]([O-])=O,0.83
CNC(=O)CSP(=O)(OC)OC,0.67
C=C\C=C/C#N,-0.72
CC1OC1C,0.4
OC1=CC(O)=NC=N1,-1.65
